Article,Libelle article,VL,No ligne,Type U.C.,"Quant en
UC",UVC/UC,"Quant en
UVC","No. operation
speciale"
6111269301891,"PACK DONTY COVER BLACK
20G X 10",0,668759040021,PCB,56.0,24,1344.0,
6111269302201,"PACK RONDINO WHITE 42G
X 5",0,668759040044,PCB,72.0,24,1728.0,
